Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 23.309,02 ; 25.020,51 ; 25.661,32 ; 26.529,23 ; 27.714,72 ; 27.707,43 ; 27.562,46 ; 29.222,89 ; 29.509,88 ; 29.718,17 ; 32.031,56 ; 31.062,35 ; 29.847,93 ; 30.355,73 ; 33.053,25 ; 34.050,47 ; 35.167,17 ; 36.621,04 ; 37.249,45 ; 33.552,89 ; 32.624,21 ; 34.326,14 ; 33.569,19 ; 36.477,78 ; 36.444,26 ; 36.765,12 ; 37.359,37 ; 38.442,41 ;;
Afghanistan;AFG;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;; 877,01 ; 927,86 ; 925,44 ; 1.023,05 ; 1.077,76 ; 1.228,70 ; 1.272,57 ; 1.519,69 ; 1.710,58 ; 1.699,49 ; 1.914,77 ; 2.015,51 ; 2.069,42 ; 2.087,31 ; 2.128,99 ; 2.202,57 ; 2.241,92 ; 2.293,55 
Angola;AGO;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 3.267,07 ; 3.299,50 ; 3.075,12 ; 2.316,54 ; 2.321,58 ; 2.639,51 ; 2.955,36 ; 3.122,90 ; 3.201,15 ; 3.212,12 ; 3.275,13 ; 3.374,48 ; 3.768,72 ; 3.822,13 ; 4.207,12 ; 4.816,71 ; 5.338,74 ; 6.024,34 ; 6.578,61 ; 6.442,58 ; 6.587,99 ; 6.710,75 ; 7.412,97 ; 7.682,48 ; 8.179,30 ; 7.337,57 ; 7.103,23 ; 7.310,90 ; 7.097,12 ; 6.929,68 
Albania;ALB;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 2.548,88 ; 1.908,67 ; 1.822,88 ; 2.056,97 ; 2.289,34 ; 2.665,14 ; 2.979,37 ; 2.716,73 ; 3.021,01 ; 3.471,65 ; 3.862,27 ; 4.301,36 ; 4.661,37 ; 4.994,59 ; 5.422,80 ; 5.865,32 ; 6.558,64 ; 7.275,80 ; 8.228,34 ; 8.821,51 ; 9.635,18 ; 10.207,77 ; 10.526,30 ; 10.570,98 ; 11.259,25 ; 11.661,98 ; 12.002,93 ; 13.037,01 ; 13.833,98 ; 14.495,08 
Andorra;AND;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 6.851,73 ; 7.419,54 ; 7.824,60 ; 8.021,95 ; 8.216,13 ; 8.350,18 ; 8.687,18 ; 9.001,71 ; 9.405,35 ; 9.526,80 ; 10.044,10 ; 10.210,31 ; 10.201,28 ; 10.660,27 ; 11.683,74 ; 12.440,95 ; 13.288,10 ; 13.914,32 ; 14.656,04 ; 14.522,44 ; 15.025,47 ; 15.514,36 ; 16.546,02 ; 16.501,67 ; 16.213,19 ; 14.609,63 ; 14.012,70 ; 14.557,77 ; 14.972,43 ; 15.216,54 
United Arab Emirates;ARE;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 87.226,54 ; 85.847,32 ; 85.624,91 ; 83.847,70 ; 86.706,30 ; 89.724,49 ; 91.943,14 ; 96.179,97 ; 92.627,87 ; 91.710,39 ; 98.363,73 ; 96.722,60 ; 95.549,97 ; 99.238,34 ; 101.871,51 ; 97.669,99 ; 95.678,28 ; 87.101,68 ; 79.730,95 ; 68.166,44 ; 64.881,86 ; 67.686,39 ; 69.102,49 ; 70.374,22 ; 73.619,10 ; 64.901,85 ; 63.968,85 ; 67.183,63 ; 68.548,51 ; 69.900,88 
Argentina;ARG;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 7.195,69 ; 8.005,47 ; 8.719,10 ; 9.532,89 ; 10.175,13 ; 9.969,60 ; 10.586,11 ; 11.507,90 ; 11.949,42 ; 11.581,89 ; 11.618,80 ; 11.226,88 ; 10.052,49 ; 11.025,19 ; 12.214,74 ; 13.568,77 ; 14.951,73 ; 16.570,01 ; 17.404,07 ; 16.334,74 ; 18.061,93 ; 19.322,23 ; 19.641,35 ; 20.131,68 ; 19.683,77 ; 20.105,20 ; 20.307,87 ; 23.562,92 ; 23.282,64 ; 22.947,14 
Armenia;ARM;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 2.773,94 ; 2.556,00 ; 1.549,08 ; 1.480,52 ; 1.632,34 ; 1.818,29 ; 1.990,58 ; 2.115,61 ; 2.313,62 ; 2.439,91 ; 2.658,35 ; 2.995,91 ; 3.463,98 ; 4.043,66 ; 4.614,86 ; 5.455,42 ; 6.411,81 ; 7.551,64 ; 8.300,48 ; 7.233,04 ; 7.506,31 ; 8.025,45 ; 9.364,41 ; 9.835,83 ; 10.036,89 ; 9.969,69 ; 10.704,23 ; 12.115,06 ; 13.014,99 ; 14.219,63 
American Samoa;ASM;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 11.595,09 ; 12.085,98 ; 12.290,47 ; 12.982,99 ; 13.845,14 ; 13.230,60 ; 14.055,09 ; 14.757,71 ; 15.305,45 ; 15.789,47 ; 16.918,60 ; 16.178,60 ; 16.373,16 ; 17.463,36 ; 18.717,72 ; 20.253,77 ; 23.170,32 ; 25.586,81 ; 25.658,00 ; 22.369,99 ; 20.611,91 ; 20.347,18 ; 19.597,59 ; 18.796,39 ; 19.039,00 ; 18.912,32 ; 19.918,79 ; 19.840,08 ; 21.614,07 ; 22.816,45 
Australia;AUS;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 17.332,33 ; 17.784,36 ; 18.176,89 ; 19.118,87 ; 20.051,38 ; 20.878,66 ; 21.957,40 ; 22.924,92 ; 24.172,68 ; 25.264,36 ; 26.318,42 ; 27.356,53 ; 28.718,24 ; 29.732,13 ; 31.299,85 ; 32.575,07 ; 34.290,52 ; 36.546,47 ; 37.459,31 ; 40.301,96 ; 39.301,60 ; 41.965,36 ; 42.826,79 ; 45.902,05 ; 46.880,22 ; 46.276,15 ; 47.349,93 ; 48.905,42 ; 51.036,41 ; 53.320,27 
Austria;AUT;GDP per capita, PPP (current international $);NY.GDP.PCAP.PP.CD; 19.436,76 ; 20.579,14 ; 21.253,56 ; 21.692,13 ; 22.600,40 ; 23.653,66 ; 24.516,65 ; 25.418,15 ; 26.674,52 ; 27.606,48 ; 29.387,03 ; 29.715,51 ; 31.178,69 ; 32.109,14 ; 33.743,20 ; 35.013,71 ; 37.616,74 ; 39.389,69 ; 41.316,23 ; 40.957,50 ; 42.037,49 ; 44.452,73 ; 46.457,35 ; 47.922,05 ; 48.799,72 ; 49.879,27 ; 52.633,25 ; 54.637,00 ; 56.871,21 ; 59.110,56 
